queue_status,sovrn_score,priority,merchant_group,primary_domain,payout_priority_rank,pricing,avg_conversion_rate_examples,avg_commission_rate_examples,avg_order_value_examples,estimated_commission_per_click,review_provider,photo_reviews,reviews_present,ships_to_country_codes,shipping_geo_status,category_evidence_url,sample_pdp_urls,integration_note,source_tracker,human_findings,final_queue_decision,final_queue_notes
sovrn_first_pass_scrape_candidate,85,P1,Pretty Little Thing,ie.prettylittlething.com,1,CPA+CPC,11.81%,4.36%,$75.73,$0.39,Bazaarvoice,yes,yes,AU|CA|FR|GB|IE|US,known_country_list,https://www.prettylittlething.com/categories/womens-swimwear-bikinis-bikini-tops,https://www.prettylittlething.com/product/print-basic-triangle-bikini-top_plt02217?colour=black | https://www.prettylittlething.com/product/u-bar-underwired-bikini-top_plt05926?colour=burgundy | https://www.prettylittlething.com/product/print-basic-triangle-bikini-top_plt02217?colour=pink,,sovrn_commerce_apparel_triage_tracker.csv,,ready_first_pass_candidate,No manual-review blocker identified in Sovrn incorporation pass.
approved_category_specific_scrape,65,P1,Nordstrom Rack,nordstromrack.com,2,CPA+CPC,5.57%,3.45%,$128.12,$0.25,unknown,yes,yes,US,market_specific_url,https://www.nordstromrack.com/shop/trend/women/bold-colors,,needs-category-specific-plan,sovrn_commerce_apparel_triage_tracker.csv,"cutomer photos present, please scrape women's section. Here is an example URL:https://www.nordstromrack.com/s/calvin-klein-scuba-crepe-fit-flare-dress/7881634?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing%2FDresses&color=419",approved_category_specific_scrape,Human review: customer photos present; scrape women's section using provided example PDP.
sovrn_first_pass_scrape_candidate,85,P1,Spanx.com,spanx.com,3,CPA+CPC,2.97%,3.05%,$155.25,$0.14,Yotpo,yes,yes,CA|GB|US,known_country_list,https://spanx.com/collections/jeans,https://spanx.com/products/spanxshape-authentic-360-wide-leg-jeans?v=48685075071187&bau-context=standard&Color=Vintage+Coastline | https://spanx.com/products/spanxshape-authentic-360-90s-straight-leg-jeans?v=48685070614739&bau-context=standard&Color=Alabaster | https://spanx.com/products/spanxsupersmooth-authentic-360-lightweight-utility-barrel-leg-jeans?v=48685281738963&bau-context=standard&Color=Oceanic,,sovrn_commerce_apparel_triage_tracker.csv,,ready_first_pass_candidate,No manual-review blocker identified in Sovrn incorporation pass.
sovrn_first_pass_scrape_candidate,55,P2,clothing shop online,clothingshoponline.com,4,CPA+CPC,4.17%,5.71%,$59.55,$0.14,Yotpo; Loox,unknown_sample_too_small,yes,US,market_specific_url,https://www.clothingshoponline.com/collections/womens,https://www.clothingshoponline.com/products/comfort-colors-3023cl-womens-heavyweight-boxy-t-shirt | https://www.clothingshoponline.com/products/bella-canvas-6400-women-s-relaxed-jersey-tee | https://www.clothingshoponline.com/products/next-level-1533-womens-ideal-racerback-tank,,sovrn_commerce_apparel_triage_tracker.csv,,ready_first_pass_candidate,No manual-review blocker identified in Sovrn incorporation pass.
approved_refresh_existing_scraper,85,P1,White House Black Market,whitehouseblackmarket.com,5,CPA+CPC,7.0%,1.05%,$89.02,$0.07,Bazaarvoice,yes,yes,US,market_specific_url,https://www.whitehouseblackmarket.com/store/category/clothing/cat11389313,https://www.whitehouseblackmarket.com/store/product/long-sleeve-y-neck-blouse/570411022?inseam=regular&sizeType=regular&color=7550&catId=cat11389313&collectionId=category&queryId=53fcab3e45ed70d62b8ad887fefa37c7&indexName=prod_whbm_products&parentId=196536786331 | https://www.whitehouseblackmarket.com/store/product/belted-featherweight-denim-short/570411348?inseam=regular&sizeType=regular&color=6018&catId=cat11389313&collectionId=category&queryId=53fcab3e45ed70d62b8ad887fefa37c7&indexName=prod_whbm_products&parentId=196536800716 | https://www.whitehouseblackmarket.com/store/product/pintuck-crepe-tank/570411175?inseam=regular&sizeType=regular&color=7535&catId=cat11389313&collectionId=category&queryId=53fcab3e45ed70d62b8ad887fefa37c7&indexName=prod_whbm_products&parentId=196536723282,existing-script-and-report-review-first,sovrn_commerce_apparel_triage_tracker.csv,picture reviews present - refresh scraper,refresh_existing_scraper,Human review: picture reviews present; refresh existing scraper.
approved_refresh_existing_scraper,80,P1,Quince,quince.com,6,CPA+CPC,1.61%,3.0%,$154.36,$0.07,Yotpo,yes,yes,US,market_specific_url,https://www.quince.com/women/shirts-&-blouses,,existing-script-review-first,sovrn_commerce_apparel_triage_tracker.csv,picture reviews present - refresh scraper,refresh_existing_scraper,Human review: picture reviews present; refresh existing scraper.
sovrn_first_pass_scrape_candidate,85,P1,PrettyLittleThing AU,prettylittlething.com.au,7,CPA,1.6%,6.0%,$43.61,$0.04,Bazaarvoice,yes,yes,AU|CA|FR|GB|IE|US,known_country_list,https://www.prettylittlething.com.au/categories/womens-tops-shirts,https://www.prettylittlething.com.au/product/cotton-oversized-cuff-shirt_plt01115?colour=tan | https://www.prettylittlething.com.au/product/striped-oversized-lightweight-shirt_plt12337?colour=blue | https://www.prettylittlething.com.au/product/plt-label-oversized-collar-button-down-fitted-shirt_plt00599?colour=blue,,sovrn_commerce_apparel_triage_tracker.csv,,ready_first_pass_candidate,No manual-review blocker identified in Sovrn incorporation pass.
sovrn_first_pass_scrape_candidate,70,P2,Yoga Democracy,yogademocracy.com,8,CPA+CPC,,,,,Yotpo,yes,yes,US,market_specific_url,https://www.yogademocracy.com/shop/tops/,,,sovrn_commerce_apparel_triage_tracker.csv,,ready_first_pass_candidate,No manual-review blocker identified in Sovrn incorporation pass.
sovrn_first_pass_scrape_candidate,65,P3,Spinnaker Boutique,spinnakerboutique.com,9,CPA+CPC,3.17%,,,,Loox,yes,yes,US,market_specific_url,https://www.spinnakerboutique.com/it-IT/donna/abbigliamento/jeans,https://www.spinnakerboutique.com/it-IT/products/guestwishlist | https://www.spinnakerboutique.com/it-IT/product/62317/miu_miu/jeans/jeans | https://www.spinnakerboutique.com/it-IT/product/62293/versace/jeans/jeans,,sovrn_commerce_apparel_triage_tracker.csv,,ready_first_pass_candidate,No manual-review blocker identified in Sovrn incorporation pass.
sovrn_first_pass_scrape_candidate,60,P2,Luxefashion Clothing,luxefashionclothing.com,10,CPA,,,,,unknown,yes,yes,US,market_specific_url,https://luxefashionclothing.com/product-category/women/womens-lingerie/bathing-suits-beachwear-swimwear/beach-dresses-cover-ups-pareos/,https://luxefashionclothing.com/product/beach-dress-model-164140-marko/ | https://luxefashionclothing.com/product/beach-dress-model-164141-marko/ | https://luxefashionclothing.com/product/beach-dress-model-179491-madora/,,sovrn_commerce_apparel_triage_tracker.csv,,ready_first_pass_candidate,No manual-review blocker identified in Sovrn incorporation pass.
sovrn_first_pass_scrape_candidate,40,P2,No! Jeans,nojeans.co,11,CPA+CPC,,,,,unknown,unknown_sample_too_small,yes,AU|CA|DE|ES|FR|GB|IT|NZ|US,known_country_list,https://nojeans.co/#main-content,https://nojeans.co/products/nj-20s01-knit-cardigan | https://nojeans.co/products/nj-25s06-surfing,,sovrn_commerce_apparel_triage_tracker.csv,,ready_first_pass_candidate,No manual-review blocker identified in Sovrn incorporation pass.
sovrn_first_pass_scrape_candidate,40,P2,Seven7 Jeans,seven7jeans.com,12,CPA+CPC,,,,,unknown,unknown_sample_too_small,yes,CA|US,known_country_list,https://seven7jeans.com/shop/women/subcategory_Dress,https://seven7jeans.com/products/7m6063ds-dsch-vneck-empire-dress | https://seven7jeans.com/products/my60018-blgi-tie-front-maxi-dress | https://seven7jeans.com/products/7m6063ds-lcyf-vneck-empire-dress,,sovrn_commerce_apparel_triage_tracker.csv,,ready_first_pass_candidate,No manual-review blocker identified in Sovrn incorporation pass.
sovrn_first_pass_scrape_candidate,35,P2,Red Rat Clothing,redrat.co.nz,13,CPA+CPC,,,,,unknown,unknown_sample_too_small,yes,,unknown,https://www.redrat.co.nz/c/womens,https://www.redrat.co.nz/p/huffer-varsity-ovesized-knit-pullover-womens-63253-navy-chalk | https://www.redrat.co.nz/p/huffer-adore-weekend-hoodie-womens-63109-petal | https://www.redrat.co.nz/p/huffer-polar-fleece-jacket-womens-63103-black,,sovrn_commerce_apparel_triage_tracker.csv,,ready_first_pass_candidate,No manual-review blocker identified in Sovrn incorporation pass.
