priority,merchant_group,merchant_group_id,primary_domains,triage_bucket,reason,pricing,source_rows,review_photo_check,avg_conversion_rate_examples,avg_commission_rate_examples,avg_order_value_examples,calibration_batch_order,category_evidence_url,sample_pdp_urls,size_importance,size_basis,reviews_present,photo_reviews,review_provider,review_photo_evidence,ships_to_country_codes,shipping_geo_status,shipping_geo_evidence_url,shipping_geo_evidence_basis,primary_market_country,product_url_geo_inheritance,scrape_feasibility,anti_bot_or_login_notes,next_action,checked_at
P1,AliExpress,55746,aliexpress.com; aliexpress.us,marketplace_category_level_check,Broad marketplace or mass merchant; must be checked at women's fit-apparel category/PDP level rather than merchant-wide.,CPA+CPC,,check women's apparel PDPs and review endpoint/widget for customer-uploaded images; mark yes/no/unknown,,,,,,,,,,,,,,unknown,,,,unknown,,,verify_category_reviews_shipping,
P1,Amazon,185,amazon.com; amazon.co.uk; amazon.ca,marketplace_category_level_check,Broad marketplace or mass merchant; must be checked at women's fit-apparel category/PDP level rather than merchant-wide.,CPA+CPC,,check women's apparel PDPs and review endpoint/widget for customer-uploaded images; mark yes/no/unknown,,,,,,,,,,,,,,unknown,,,,unknown,,,verify_category_reviews_shipping,
P1,eBay,3908,ebay.com; ebay.co.uk; ebay.ca,marketplace_category_level_check,Broad marketplace or mass merchant; must be checked at women's fit-apparel category/PDP level rather than merchant-wide.,CPA+CPC,,check women's apparel PDPs and review endpoint/widget for customer-uploaded images; mark yes/no/unknown,,,,,,,,,,,,,,unknown,,,,unknown,,,verify_category_reviews_shipping,
P1,Etsy,46131,etsy.com,marketplace_category_level_check,Broad marketplace or mass merchant; must be checked at women's fit-apparel category/PDP level rather than merchant-wide.,CPA+CPC,,check women's apparel PDPs and review endpoint/widget for customer-uploaded images; mark yes/no/unknown,,,,,,,,,,,,,,unknown,,,,unknown,,,verify_category_reviews_shipping,
P1,Target,390,target.com,marketplace_category_level_check,Broad marketplace or mass merchant; must be checked at women's fit-apparel category/PDP level rather than merchant-wide.,CPA+CPC,,check women's apparel PDPs and review endpoint/widget for customer-uploaded images; mark yes/no/unknown,,,,,,,,,,,,,,unknown,,,,unknown,,,verify_category_reviews_shipping,
P1,Temu,205410,temu.com,marketplace_category_level_check,Broad marketplace or mass merchant; must be checked at women's fit-apparel category/PDP level rather than merchant-wide.,CPA+CPC,,check women's apparel PDPs and review endpoint/widget for customer-uploaded images; mark yes/no/unknown,,,,,,,,,,,,,,unknown,,,,unknown,,,verify_category_reviews_shipping,
P1,Walmart,384,walmart.com; walmart.ca,marketplace_category_level_check,Broad marketplace or mass merchant; must be checked at women's fit-apparel category/PDP level rather than merchant-wide.,CPA+CPC,,check women's apparel PDPs and review endpoint/widget for customer-uploaded images; mark yes/no/unknown,,,,,,,,,,,,,,unknown,,,,unknown,,,verify_category_reviews_shipping,
P1,Abercrombie & Fitch,39415,abercrombie.com,target_womens_fit_apparel_candidate,Known apparel/footwear/swim/intimates merchant where size/fit affects purchase.,CPA+CPC,2,check PDP and review endpoint/widget for customer-uploaded images; mark yes/no/unknown,6.65%,15.0%,$129.86,,,,,,,,,,,unknown,,,,unknown,,,verify_category_reviews_shipping,
P1,adidas,491,adidas.ae; adidas.at; adidas.be; adidas.ca; adidas.cl,target_womens_fit_apparel_candidate,Known apparel/footwear/swim/intimates merchant where size/fit affects purchase.,CPA+CPC,2,check PDP and review endpoint/widget for customer-uploaded images; mark yes/no/unknown,2.57%,3.77%,$87.26,,,,,,,,,,,unknown,,,,unknown,,,verify_category_reviews_shipping,
P1,Alo Yoga,122245,aloyoga.com,target_womens_fit_apparel_candidate,Known apparel/footwear/swim/intimates merchant where size/fit affects purchase.,CPA+CPC,2,check PDP and review endpoint/widget for customer-uploaded images; mark yes/no/unknown,4.56%,9.69%,$207.97,1,https://www.aloyoga.com/collections/womens-sweatshirts-hoodies,,unknown,,unknown,unknown,,,US,market_specific_url,https://www.aloyoga.com/pages/orders-and-shipping-support,shipping_policy,US,merchant_level_ok,blocked_or_needs_manual_review,possible_block_or_challenge at https://www.aloyoga.com/,calibration_verify_category_reviews_shipping,2026-05-27T14:12:14.950Z
P1,Anthropologie,3933,anthropologie.co.uk; anthropologie.com; anthropologie.eu; de.anthropologie.eu; images.anthropologie.com,target_womens_fit_apparel_candidate,Known apparel/footwear/swim/intimates merchant where size/fit affects purchase.,CPA+CPC,2,check PDP and review endpoint/widget for customer-uploaded images; mark yes/no/unknown,1.46%,2.96%,$88.85,2,,,yes,homepage exposes size or fit language,unknown,unknown,unknown,,DE|EU|GB|US,known_country_list,https://anthropologie.com,storefront_locale,US,merchant_level_ok,blocked_or_needs_manual_review,http_403 at https://www.anthropologie.com/,calibration_verify_category_reviews_shipping,2026-05-27T14:12:27.369Z
P1,ASOS,3963,asos.com; asos.com.au; asos.de; asos.fr; fashion.asos.com,target_womens_fit_apparel_candidate,Known apparel/footwear/swim/intimates merchant where size/fit affects purchase.,CPA+CPC,2,check PDP and review endpoint/widget for customer-uploaded images; mark yes/no/unknown,3.36%,2.9%,$35.9,3,,,unknown,,unknown,unknown,unknown,,AU|DE|FR|US,known_country_list,https://asos.com,storefront_locale,US,merchant_level_ok,blocked_or_needs_manual_review,http_403 at https://www.asos.com/?,calibration_verify_category_reviews_shipping,2026-05-27T14:12:32.869Z
P1,Athleta,9675,athleta.gap.com; athleta.gapcanada.ca,target_womens_fit_apparel_candidate,Known apparel/footwear/swim/intimates merchant where size/fit affects purchase.,CPA+CPC,2,check PDP and review endpoint/widget for customer-uploaded images; mark yes/no/unknown,6.82%,2.11%,$132.58,,,,,,,,,,,unknown,,,,unknown,,,verify_category_reviews_shipping,
P1,Backcountry.com,1116,backcountry.com; content.backcountry.com; thegoat.backcountry.com,target_womens_fit_apparel_candidate,Known apparel/footwear/swim/intimates merchant where size/fit affects purchase.,CPA+CPC,2,check PDP and review endpoint/widget for customer-uploaded images; mark yes/no/unknown,0.66%,1.11%,$172.44,,,,,,,,,,,unknown,,,,unknown,,,verify_category_reviews_shipping,
P1,Banana Republic,1268,bananarepublic.com.au; bananarepublic.eu; bananarepublic.gap.com; bananarepublic.gapcanada.ca,target_womens_fit_apparel_candidate,Known apparel/footwear/swim/intimates merchant where size/fit affects purchase.,CPA+CPC,2,check PDP and review endpoint/widget for customer-uploaded images; mark yes/no/unknown,4.19%,2.97%,$124.46,4,https://bananarepublic.gap.com/browse/women/womens-skirts?cid=3053418&nav=meganav%3AWOMEN%3AWOMEN%27S%20CLOTHING%3AShorts,,unknown,,unknown,unknown,,,AU|CA|EU|US,known_country_list,https://bananarepublic.gap.com,storefront_locale,US,merchant_level_ok,blocked_or_needs_manual_review,possible_block_or_challenge at https://bananarepublic.gap.com/,calibration_verify_category_reviews_shipping,2026-05-27T14:12:35.968Z
P1,Bloomingdale's,1284,bloomingdales.ae; bloomingdales.com; e.bloomingdales.com; ebm.e.bloomingdales.com; fashion.bloomingdales.com,target_womens_fit_apparel_candidate,Known apparel/footwear/swim/intimates merchant where size/fit affects purchase.,CPA+CPC,2,check PDP and review endpoint/widget for customer-uploaded images; mark yes/no/unknown,2.76%,2.1%,$193.15,,,,,,,,,,,unknown,,,,unknown,,,verify_category_reviews_shipping,
