started_at,finished_at,domain,programme_name,provider,status,rows,errors_count,output_csv,summary_json,claim_file,error
2026-06-10T20:20:56Z,2026-06-10T20:21:03Z,self-adore.com,Self-Adore (US),Judge.me,no_public_product_seed,0,1,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/self_adore_com/self_adore_com_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/self_adore_com/self_adore_com_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/self_adore_com_2026-06-10_awin.claim,No product seed URLs discovered; likely products.json/sitemap unavailable or rate-limited.
2026-06-10T20:21:03Z,2026-06-10T20:21:10Z,builtlikeamother.com,duoFIT Maternity Activewear,Judge.me,no_public_product_seed,0,1,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/builtlikeamother_com/builtlikeamother_com_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/builtlikeamother_com/builtlikeamother_com_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/builtlikeamother_com_2026-06-10_awin.claim,No product seed URLs discovered; likely products.json/sitemap unavailable or rate-limited.
2026-06-10T20:21:10Z,2026-06-10T20:21:17Z,curveez.com,CURVEEZ,Judge.me,no_public_product_seed,0,1,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/curveez_com/curveez_com_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/curveez_com/curveez_com_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/curveez_com_2026-06-10_awin.claim,No product seed URLs discovered; likely products.json/sitemap unavailable or rate-limited.
2026-06-10T20:21:17Z,2026-06-10T20:21:25Z,wegatherall.com,Gatherall,Judge.me,no_public_product_seed,0,1,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/wegatherall_com/wegatherall_com_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/wegatherall_com/wegatherall_com_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/wegatherall_com_2026-06-10_awin.claim,No product seed URLs discovered; likely products.json/sitemap unavailable or rate-limited.
2026-06-10T20:21:25Z,2026-06-10T20:21:32Z,baleaf.com,baleaf,Judge.me,no_public_product_seed,0,1,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/baleaf_com/baleaf_com_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/baleaf_com/baleaf_com_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/baleaf_com_2026-06-10_awin.claim,No product seed URLs discovered; likely products.json/sitemap unavailable or rate-limited.
2026-06-10T20:21:32Z,2026-06-10T20:21:39Z,seliarichwood.com,Selia Richwood,Judge.me,no_public_product_seed,0,1,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/seliarichwood_com/seliarichwood_com_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/seliarichwood_com/seliarichwood_com_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/seliarichwood_com_2026-06-10_awin.claim,No product seed URLs discovered; likely products.json/sitemap unavailable or rate-limited.
2026-06-10T20:21:39Z,2026-06-10T20:21:47Z,heyjoanie.com,Heyjoanie LLC,Judge.me,no_public_product_seed,0,1,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/heyjoanie_com/heyjoanie_com_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/heyjoanie_com/heyjoanie_com_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/heyjoanie_com_2026-06-10_awin.claim,No product seed URLs discovered; likely products.json/sitemap unavailable or rate-limited.
2026-06-10T20:21:47Z,2026-06-10T20:21:54Z,dippindaisys.com,Dippin Daisys (US),Judge.me,no_public_product_seed,0,1,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/dippindaisys_com/dippindaisys_com_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/dippindaisys_com/dippindaisys_com_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/dippindaisys_com_2026-06-10_awin.claim,No product seed URLs discovered; likely products.json/sitemap unavailable or rate-limited.
2026-06-10T20:21:54Z,2026-06-10T20:22:01Z,cadense.com,Cadense,Judge.me,no_public_product_seed,0,1,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/cadense_com/cadense_com_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/cadense_com/cadense_com_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/cadense_com_2026-06-10_awin.claim,No product seed URLs discovered; likely products.json/sitemap unavailable or rate-limited.
2026-06-10T20:22:01Z,2026-06-10T20:22:09Z,lineinthesand.com,Line in the Sand,Judge.me,no_public_product_seed,0,1,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/lineinthesand_com/lineinthesand_com_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/lineinthesand_com/lineinthesand_com_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/lineinthesand_com_2026-06-10_awin.claim,No product seed URLs discovered; likely products.json/sitemap unavailable or rate-limited.
