started_at,finished_at,domain,programme_name,provider,status,rows,errors_count,output_csv,summary_json,claim_file,error
2026-06-10T20:25:22Z,2026-06-10T20:25:29Z,solbari.com,Solbari Sun Protection (US),Yotpo,no_public_product_seed,0,1,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/solbari_com/solbari_com_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/solbari_com/solbari_com_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/solbari_com_2026-06-10_awin.claim,No product seed URLs discovered; likely products.json/sitemap unavailable or rate-limited.
2026-06-10T20:25:29Z,2026-06-10T20:25:37Z,wolaco.com,WOLACO (US),Yotpo,no_public_product_seed,0,1,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/wolaco_com/wolaco_com_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/wolaco_com/wolaco_com_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/wolaco_com_2026-06-10_awin.claim,No product seed URLs discovered; likely products.json/sitemap unavailable or rate-limited.
2026-06-10T20:25:37Z,2026-06-10T20:25:39Z,bravissimo.com,Bravissimo,Yotpo,no_public_product_seed,0,1,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/bravissimo_com/bravissimo_com_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/bravissimo_com/bravissimo_com_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/bravissimo_com_2026-06-10_awin.claim,No product seed URLs discovered; likely products.json/sitemap unavailable or rate-limited.
2026-06-10T20:25:39Z,2026-06-10T20:25:46Z,shopetalon.com,Etalon,Yotpo,no_public_product_seed,0,1,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/shopetalon_com/shopetalon_com_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/shopetalon_com/shopetalon_com_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/shopetalon_com_2026-06-10_awin.claim,No product seed URLs discovered; likely products.json/sitemap unavailable or rate-limited.
2026-06-10T20:25:46Z,2026-06-10T20:25:53Z,jujujams.com,JuJu Jams,Yotpo,no_public_product_seed,0,1,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/jujujams_com/jujujams_com_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/jujujams_com/jujujams_com_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/jujujams_com_2026-06-10_awin.claim,No product seed URLs discovered; likely products.json/sitemap unavailable or rate-limited.
2026-06-10T20:25:53Z,2026-06-10T20:26:01Z,radiasmart.com,Radia Smart,Yotpo,no_public_product_seed,0,1,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/radiasmart_com/radiasmart_com_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/radiasmart_com/radiasmart_com_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/radiasmart_com_2026-06-10_awin.claim,No product seed URLs discovered; likely products.json/sitemap unavailable or rate-limited.
2026-06-10T20:26:01Z,2026-06-10T20:27:35Z,klassyshop.com,Klassy Network,Yotpo,completed,34,0,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/klassyshop_com/klassyshop_com_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/klassyshop_com/klassyshop_com_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/klassyshop_com_2026-06-10_awin.claim,
2026-06-10T20:27:35Z,2026-06-10T20:29:59Z,feelingirl.com,Feelingirl US,Yotpo,completed,20,0,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/feelingirl_com/feelingirl_com_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/feelingirl_com/feelingirl_com_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/feelingirl_com_2026-06-10_awin.claim,
2026-06-10T20:29:59Z,2026-06-10T20:31:29Z,splashonmain.com,SPLASH ON MAIN LLC,Yotpo,completed,0,2,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/splashonmain_com/splashonmain_com_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/splashonmain_com/splashonmain_com_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/splashonmain_com_2026-06-10_awin.claim,
2026-06-10T20:31:29Z,2026-06-10T20:32:59Z,us.oneractive.com,Oner Active Global,Yotpo,completed,0,0,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/us_oneractive_com/us_oneractive_com_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/us_oneractive_com/us_oneractive_com_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/us_oneractive_com_2026-06-10_awin.claim,
