recommended_action,final_score,programmeName,normalized_domain,review_providers,photo_signal,measurement_signal,gap_tags,primarySector,subSectors,approvalRate,epc,awinIndex,feedEnabled,productReporting,primaryRegion,displayUrl,sample_product_urls,already_in_lead_or_sovrn,existing_data_dir_found,existing_scrape_doc_found,existing_claim_found,probe_status,notes,advertiserId,base_gap_score,source_export,conversionRate,launchDate,paymentStatus,paymentRiskLevel,commissionMin,commissionMax,cookieLength,parentSectors,averagePaymentTime,descriptionShort
request_to_join_p1_scrape_likely,417.3,baleaf,baleaf.com,Judge.me,yes,yes,full_bust_lingerie;bottoms_denim_active;general_womenswear,Sportswear,Clothing|Lingerie|Sportswear|Womenswear,17.56,0.44,17.2363,no,yes,US,https://www.baleaf.com,https://www.baleaf.com/products/golf-sleeveless-dress | https://www.baleaf.com/products/cozy-at-home-set | https://www.baleaf.com/products/everyday-travel-ready-set,no,no,no,no,home_ok,,97199,320.0,AWIN_AllClothingAdvertisers.csv,3.29183,2025-08-12,green,none,0,0,90,Retail & Shopping,68,"Welcome to Baleaf's Affiliate Program—where passion meets real rewards. We're excited to partner with creators and influencers like you to promote movement, confidence and body positivity. Let's build a profitable, purposeful partnership together."
maybe_join_manual_review_probe,415.6,Ulla Popken - US,ullapopken.com,unknown,unknown,yes,full_bust_lingerie;bottoms_denim_active;plus_curve;general_womenswear,Womenswear,Clothing|Clothing Accessories|Lingerie|Shoes|Sportswear|Womenswear,100.00,0.03,52.3082,yes,no,US,https://www.ullapopken.com/en/,,no,no,no,no,http_403;http_403,,48293,380.0,AWIN_AllClothingAdvertisers.csv,0.638032,2023-05-18,amber,exposurelevel4,0,0,30,Retail & Shopping,104,"Women’s plus size clothing is Ulla Popken’s specialty. Ulla Popken has been selling stylish, upscale plus size women’s apparel for more than 20 years. We have a wide product range including tops, bottoms, dresses, special occasion, career, and many more"
request_to_join_p1_scrape_likely,395.0,Self-Adore (US),self-adore.com,Judge.me,yes,yes,full_bust_lingerie;bottoms_denim_active;general_womenswear,Womenswear,Clothing|Clothing Accessories|Department Stores|Lingerie|Sportswear|Womenswear,0.00,0.00,0,no,no,US,https://self-adore.com/,https://self-adore.com/products/fleur-3d-hand-beaded-embellished-bikini-bottom-black | https://self-adore.com/products/fleur-3d-hand-beaded-embellished-bikini-top-black | https://self-adore.com/products/fleur-3d-hand-beaded-embellished-bikini-bottom-pale-pink,no,no,no,no,home_ok,,121918,320.0,AWIN_AllClothingAdvertisers.csv,,2025-11-14,amber,exposurelevel1,0,0,30,Retail & Shopping,null,"Self-Adore is a luxury-yet-accessible brand offering hand-beaded swimwear, resortwear, mini dresses, and satin sets crafted by artisans in India. Premium quality, ethical production, and unique designs made to stand out."
request_to_join_p1_scrape_likely,390.0,Feelingirl US,feelingirl.com,Yotpo,yes,yes,full_bust_lingerie;swim_shapewear;general_womenswear,Lingerie,Lingerie|Womenswear,0.00,0.00,0,no,no,US,https://feelingirl.com/,https://feelingirl.com/products/feelingirl-everyday-wireless-bra-unlined-soft-bra | https://feelingirl.com/products/feelingirl-silicone-nipple-covers | https://feelingirl.com/products/scoop-neck-buttery-seamless-everyday-bodysuit,no,no,no,no,home_ok,,125300,315.0,AWIN_AllClothingAdvertisers.csv,,2026-03-25,amber,exposurelevel2,0,0,30,Retail & Shopping,null,"Hi,We're Feelingirl. Every woman, at every age and every stage, deserves undergarments that move with her. Our high-stretch fabrics make comfortuni-versal. We're redefining inclusivity, one piece at a time."
request_to_join_p1_scrape_likely,374.2,Sunshine Society (US),iamsunshinesociety.com,Loox;Judge.me,yes,yes,full_bust_lingerie;general_womenswear,Clothing,Clothing|Lingerie|Womenswear,100.00,1.21,80.4546,yes,yes,US,https://www.iamsunshinesociety.com/,https://www.iamsunshinesociety.com/products/silky-daydreamer-set | https://www.iamsunshinesociety.com/products/kids-silky-daydreamer-short-sleeve-short-set | https://www.iamsunshinesociety.com/products/silky-daydreamer-pant-set,no,no,no,no,home_ok,,119467,230.0,AWIN_AllClothingAdvertisers.csv,16.946,2025-09-11,amber,exposurelevel1,0,0,30,Retail & Shopping,43,"Sunshine Society is a fast-growing brand known for its “Silky Sets”—Ultra soft pajama sets for all ages designed for home and beyond. With custom prints and bold color, each set creates high-impact, visual content that drives engagement and conversion."
maybe_join_manual_review_probe,356.6,Etam (US),us.etam.com,unknown,unknown,yes,full_bust_lingerie;bottoms_denim_active;general_womenswear,Lingerie,Clothing|Clothing Accessories|Gifts & Flowers|Green (Eco friendly)|Lingerie|Sportswear|Womenswear,100.00,0.08,55.4018,yes,no,US,https://us.etam.com/,,no,no,no,no,http_200;products_json_invalid,,39234,320.0,AWIN_AllClothingAdvertisers.csv,1.06037,2023-01-30,amber,exposurelevel2,0,0,30,Retail & Shopping,69,"Beloved by French women since 1916, Etam's lingerie and nightwear are now available in the US. The brand is known for expert fits, beautiful lace, and sustainable fashion. See the full collection at us.etam.com"
request_to_join_p1_scrape_likely,351.8,Zeagoo,zeagoo.com,Judge.me,yes,yes,full_bust_lingerie;general_womenswear,Clothing,Clothing|Lingerie|Womenswear,100.00,0.09,52.4248,yes,yes,US,https://zeagoo.com,https://zeagoo.com/collections/mayes-picks/products/elegant-spring-print-lantern-sleeve-blouse-with-scarf | https://zeagoo.com/collections/mayes-picks/products/summer-casual-print-linen-blend-blouse-pants-set | https://zeagoo.com/collections/mayes-picks/products/floral-bow-detail-long-sleeve-maxi-dress,no,no,no,no,home_ok,,59047,230.0,AWIN_AllClothingAdvertisers.csv,0.749437,2025-08-04,green,none,0,0,30,Retail & Shopping,72,Welcome to the Zeagoo affiliate programme. weare currently set up to run affillate marketing in the US and will eventually be launching in additional markets.Shipping from USCommission Rate:12% per saleCookie Duration: 30 DaysCreatives
skip_existing_or_refresh_only,349.8,PURTY BODY Affiliate Program,purtybody.com,Okendo,yes,yes,full_bust_lingerie;general_womenswear,Lingerie,Clothing|Clothing Accessories|Lingerie|Womenswear,99.01,1.49,68.7026,no,no,US,https://purtybody.com/,https://purtybody.com/products/vitamin-g-string | https://purtybody.com/products/snatched-vag-g-string | https://purtybody.com/products/snatched-vag-high-rise-g-string,yes,yes,no,yes,home_ok,,119629,230.0,AWIN_AllClothingAdvertisers.csv,23.2972,2025-10-03,amber,exposurelevel6,0,0,30,Retail & Shopping,197,Purtybody is a fashion-forward brand created to solve one of the most common yet least talked about challenges in women’s apparel: the discomfort and appearance of “camel toe.”
maybe_join_manual_review_probe,341.5,Make Me Surprise,makemesurprise.com,unknown,unknown,yes,full_bust_lingerie;bottoms_denim_active;general_womenswear,Home & Garden,Clothing|DIY|Home & Garden|Lingerie|Sportswear|Womenswear,70.66,0.37,78.9584,no,no,US,https://www.makemesurprise.com/,,no,no,no,no,http_200;products_json_invalid,,121824,320.0,AWIN_AllClothingAdvertisers.csv,7.79166,2025-11-28,amber,exposurelevel2,0,0,30,Retail & Shopping,21,"We offer customized blankets, pillows, and apparel that turn ordinary gifts into extraordinary ones. Help your audience find meaningful, personalized gifts while earning commissions through our affiliate program."
skip_existing_or_refresh_only,340.4,Company,shopbrabar.com,Loox,yes,yes,full_bust_lingerie;plus_curve;petite_tall;general_womenswear,Clothing,Clothing,100.00,0.02,0,no,yes,US,https://shopbrabar.com,https://shopbrabar.com/products/soft-day-bra-with-back-closure-bundle | https://shopbrabar.com/products/soft-push-up-bra-w-back-closure | https://shopbrabar.com/products/soft-day-bra-with-back-closure,yes,yes,no,yes,home_ok,,33473,235.0,AWIN_AllClothingAdvertisers.csv,0.281339,2025-08-04,green,none,0,0,90,Retail & Shopping,69,"BRABAR makes ultra Comfy Bras, Bralettes & Underwear designed to fit teens, juniors, and young women with BOOBS & always wire-free. Junior and Curvy bra fits for band sizes 28 - 38 | AA-DDD cups BRABAR bras & tops are loved by Petite and Full-"
