join_order,advertiserId,programmeName,normalized_domain,review_providers,final_score,approvalRate,displayUrl
1,97199,baleaf,baleaf.com,Judge.me,417.3,17.56,https://www.baleaf.com
2,121918,Self-Adore (US),self-adore.com,Judge.me,395.0,0.00,https://self-adore.com/
3,125300,Feelingirl US,feelingirl.com,Yotpo,390.0,0.00,https://feelingirl.com/
4,119467,Sunshine Society (US),iamsunshinesociety.com,Loox;Judge.me,374.2,100.00,https://www.iamsunshinesociety.com/
5,59047,Zeagoo,zeagoo.com,Judge.me,351.8,100.00,https://zeagoo.com
6,121338,Isme Swim US,ismeswim.com,Okendo;Loox;Yotpo,337.0,93.06,https://ismeswim.com/
7,102461,Huha Underwear,hu-ha.com,Yotpo,329.6,100.00,https://hu-ha.com/
8,123662,Cosabella (US),cosabella.com,Stamped,327.1,55.75,https://cosabella.com/
9,95059,Shebird,shebirdshop.com,Okendo,322.4,100.00,https://www.shebirdshop.com
10,118621,Snag Tights US,snagtights.us,Judge.me,320.5,76.72,https://snagtights.us/
11,118467,SOL SWIM,shopsolswim.com,Judge.me,305.0,0.00,https://www.shopsolswim.com/
12,67052,Boux Avenue US,bouxavenue.com,Bazaarvoice,305.0,0.00,https://www.bouxavenue.com/us
13,95495,Meira Active,meiraactive.com,Judge.me,302.6,100.00,https://meiraactive.com
14,52525,UNTUCKit (US),untuckit.com,Yotpo;Bazaarvoice,302.0,91.97,https://www.untuckit.com/
15,124076,Runderwear US,runderwear.com,Shopify Product Reviews,298.2,100.00,https://runderwear.com/
16,96695,Urbody Functional Fashion,urbody.co,Okendo;Loox;Yotpo,295.2,100.00,https://www.urbody.co
17,92625,Memoi,memoi.com,Bazaarvoice,292.8,99.15,https://memoi.com
18,35237,AVIANAYA LLC DBA Journelle,journelle.com,Judge.me,292.2,67.07,https://journelle.com
19,119563,Beldrie,beldrie.com,Yotpo,275.6,100.00,https://beldrie.com/
20,114120,Moodytiger (US),moodytiger.com,Judge.me,275.0,100.00,https://moodytiger.com
21,114956,ucalingerie.com,ucalingerie.com,Stamped,275.0,100.00,https://ucalingerie.com
