apply_order,join_priority,programmeName,normalized_domain,review_providers,why_request,approvalRate,displayUrl
1,request_now,Company,shopbrabar.com,Loox,full-bust/lingerie gap; plus/curve gap; tall/petite gap,100.00,https://shopbrabar.com
2,request_now,Self-Adore (US),self-adore.com,Judge.me,full-bust/lingerie gap; swim/shapewear gap; bottoms/activewear gap,0.00,https://self-adore.com/
3,request_now,duoFIT Maternity Activewear,builtlikeamother.com,Judge.me,full-bust/lingerie gap; maternity/postpartum gap; bottoms/activewear gap,0.00,https://builtlikeamother.com
4,request_now,CURVEEZ,curveez.com,Judge.me,full-bust/lingerie gap; swim/shapewear gap,73.81,https://curveez.com?utm_source=share-a-sale&utm_medium=affiliate&utm_campaign=text-general
5,request_now,Gatherall,wegatherall.com,Judge.me,full-bust/lingerie gap; adaptive/specialty fit gap,100.00,https://wegatherall.com/
6,request_now,EverLeakProof US,everleakproof.com,Loox,full-bust/lingerie gap; adaptive/specialty fit gap,85.71,https://everleakproof.com
7,request_now,TheRY,therygroup.com,Loox;Judge.me,maternity/postpartum gap; adaptive/specialty fit gap,12.50,https://therygroup.com
8,request_now,ucalingerie.com,ucalingerie.com,Stamped,full-bust/lingerie gap; swim/shapewear gap,100.00,https://ucalingerie.com
9,request_now,baleaf,baleaf.com,Judge.me,full-bust/lingerie gap; bottoms/activewear gap,17.56,https://www.baleaf.com
10,request_now,Springrose,springrose.co,Okendo,full-bust/lingerie gap; adaptive/specialty fit gap,0.00,https://www.springrose.co
11,request_now,Gooseberry Intimates Ltd,gooseberryintimates.com,Okendo,full-bust/lingerie gap; swim/shapewear gap,100.00,https://gooseberryintimates.com
12,request_now,Selia Richwood,seliarichwood.com,Judge.me,full-bust/lingerie gap; swim/shapewear gap,0.00,https://seliarichwood.com
13,request_now,Heyjoanie LLC,heyjoanie.com,Judge.me,tall/petite gap; bottoms/activewear gap,33.33,https://www.heyjoanie.com
14,request_now,Solbari Sun Protection (US),solbari.com,Yotpo,swim/shapewear gap; bottoms/activewear gap,35.32,https://www.solbari.com/
15,request_now,Dippin Daisys (US),dippindaisys.com,Judge.me,swim/shapewear gap; bottoms/activewear gap,100.00,https://dippindaisys.com
16,request_now,WOLACO (US),wolaco.com,Yotpo,adaptive/specialty fit gap; bottoms/activewear gap,82.78,https://www.wolaco.com/
17,request_now,Cadense,cadense.com,Judge.me,adaptive/specialty fit gap; bottoms/activewear gap,100.00,https://cadense.com/
18,request_now,UNTUCKit (US),untuckit.com,Yotpo;Bazaarvoice,plus/curve gap; bottoms/activewear gap,91.97,https://www.untuckit.com/
19,request_now,Line in the Sand,lineinthesand.com,Judge.me,swim/shapewear gap; bottoms/activewear gap,0.00,https://www.lineinthesand.com
20,request_now,SOL SWIM,shopsolswim.com,Judge.me,swim/shapewear gap; bottoms/activewear gap,0.00,https://www.shopsolswim.com/
21,request_now,Sweat and Milk,sweatandmilk.com,Judge.me,maternity/postpartum gap; bottoms/activewear gap,78.92,https://sweatandmilk.com/
22,request_now,Bravissimo,bravissimo.com,Yotpo,full-bust/lingerie gap; swim/shapewear gap,78.88,https://www.bravissimo.com/us/?utm_source=Shareasale&utm_medium=affiliate&utm_campaign=shopbravissimolink
23,request_now,Waistdear,waistdear.com,Stamped;Yotpo,swim/shapewear gap; bottoms/activewear gap,100.00,https://www.waistdear.com/pages/rewards
24,request_now,Boux Avenue US,bouxavenue.com,Bazaarvoice,full-bust/lingerie gap; swim/shapewear gap,0.00,https://www.bouxavenue.com/us
25,request_now,SILVERWIND,mysilverwind.com,Loox;Judge.me,swim/shapewear gap; bottoms/activewear gap,79.85,https://www.mysilverwind.com/collections/shop-all
26,request_now,Sunshine Society (US),iamsunshinesociety.com,Loox;Judge.me,full-bust/lingerie gap,100.00,https://www.iamsunshinesociety.com/
27,request_now,Zeagoo,zeagoo.com,Judge.me,full-bust/lingerie gap,100.00,https://zeagoo.com
28,request_now,Lusomé,lusome.com,Judge.me,full-bust/lingerie gap,100.00,https://lusome.com/
29,request_now,EBY (US),shop.join-eby.com,Okendo,full-bust/lingerie gap,77.38,https://shop.join-eby.com/
30,request_now,PerfectDD,perfectdd.com,Judge.me,full-bust/lingerie gap,100.00,https://perfectdd.com/
31,request_now,Belly Bandit,bellybandit.com,Judge.me,maternity/postpartum gap,92.40,https://bellybandit.com
32,request_now,KING SupportWear,kingsonly.co,Judge.me,adaptive/specialty fit gap; bottoms/activewear gap,0.00,https://kingsonly.co/
33,request_now,PURTY BODY Affiliate Program,purtybody.com,Okendo,full-bust/lingerie gap,99.01,https://purtybody.com/
34,request_now,Net Positive,wearnetpositive.com,Okendo,full-bust/lingerie gap,76.73,https://wearnetpositive.com/
35,request_now,A DOMANI,adomanisleep.com,Okendo,maternity/postpartum gap,100.00,https://www.adomanisleep.com/
36,request_now,Rosewater Collective LLC,rosewaterhouse.com,Loox;Judge.me,maternity/postpartum gap,100.00,https://rosewaterhouse.com/
37,request_now,Pietro Brunelli US,pietrobrunelli.it,Judge.me,maternity/postpartum gap,33.33,https://www.pietrobrunelli.it/en
38,request_now,PROCLAIM,wearproclaim.com,Stamped,full-bust/lingerie gap,0.00,https://www.wearproclaim.com/
39,request_now,CAKES body,cakesbody.com,Judge.me;Stamped,full-bust/lingerie gap,0.00,https://cakesbody.com
40,request_now,Lovability (US),lovabilityinc.com,Stamped;Yotpo,full-bust/lingerie gap,93.48,https://lovabilityinc.com/
41,request_now,Snag Tights US,snagtights.us,Judge.me,full-bust/lingerie gap,76.72,https://snagtights.us/
42,request_now,FIND ME NOW (US),findmenowthelabel.com,Loox,full-bust/lingerie gap,0.00,https://findmenowthelabel.com/
43,request_next,Helen Jon,helenjon.com,Judge.me,swim/shapewear gap,99.53,https://www.helenjon.com
44,request_next,onewith,onewithswim.com,Okendo,swim/shapewear gap,100.00,https://onewithswim.com
45,request_next,Nelle Atelier,nelleatelier.com,Judge.me,tall/petite gap,100.00,https://nelleatelier.com
46,request_next,Albion Fit,albionfit.com,Okendo,swim/shapewear gap,72.79,https://albionfit.com
47,request_next,SWORLD Inc,swimwearworld.com,Stamped,swim/shapewear gap,73.08,https://www.swimwearworld.com
48,request_next,Fig & Willow,shopfigandwillow.com,Judge.me,plus/curve gap,0.00,https://shopfigandwillow.com
49,request_now,Etalon,shopetalon.com,Yotpo,full-bust/lingerie gap,100.00,https://shopetalon.com/products/etalon-posture-bra
50,request_now,"Ulivary Fashion Co.,Ltd",ulivarylife.com,Judge.me,full-bust/lingerie gap,100.00,https://ulivarylife.com
51,request_now,Au Natural,liveaunatural.com,Loox,full-bust/lingerie gap,100.00,https://liveaunatural.com/
52,request_now,Bloomers Intimates LLC,bloomersintimates.com,Judge.me,full-bust/lingerie gap,96.72,https://bloomersintimates.com/
53,request_now,AVIANAYA LLC DBA Journelle,journelle.com,Judge.me,full-bust/lingerie gap,67.07,https://www.journelle.com/
54,request_now,JuJu Jams,jujujams.com,Yotpo,full-bust/lingerie gap,0.00,https://JuJuJams.com
55,request_now,Satingel,satingel.com,Judge.me,full-bust/lingerie gap,0.00,https://satingel.com/
56,request_now,Montelle Intimates,montelleintimates.com,Judge.me;Stamped;Yotpo,full-bust/lingerie gap,59.33,https://montelleintimates.com
57,request_now,Radia Smart,radiasmart.com,Yotpo,maternity/postpartum gap,100.00,https://radiasmart.com
58,request_now,Klassy Network,klassyshop.com,Yotpo,full-bust/lingerie gap,100.00,https://klassyshop.com
59,request_now,Embrace Essentials Pte. Limited,wearembrace.com,Judge.me,full-bust/lingerie gap,100.00,https://wearembrace.com
60,request_now,Niidor,niidor.com,Loox,full-bust/lingerie gap,0.00,https://niidor.com/
61,request_now,Feelingirl US,feelingirl.com,Yotpo,full-bust/lingerie gap,0.00,https://feelingirl.com/
62,request_now,Shebird,shebirdshop.com,Okendo,full-bust/lingerie gap; bottoms/activewear gap,100.00,https://www.shebirdshop.com
63,request_next,SPLASH ON MAIN LLC,splashonmain.com,Yotpo,swim/shapewear gap,0.00,https://splashonmain.com/
64,request_next,Beach Bum Club,beachbumclub.ca,Judge.me,swim/shapewear gap,0.00,https://beachbumclub.ca
65,request_next,BODY by Julia Haart,plusbody.com,Loox;Okendo,swim/shapewear gap,0.00,https://bodybyjulia.com/
66,request_now,duet,duetcollection.com,Judge.me,maternity/postpartum gap,100.00,https://duetcollection.com
67,request_now,Simple Wishes,simplewishes.com,Judge.me,maternity/postpartum gap,100.00,https://simplewishes.com/
68,request_next,Oner Active Global,us.oneractive.com,Yotpo,bottoms/activewear gap,92.84,https://us.oneractive.com/
69,request_next,Non Disclosure Apparel,ndapparel.com,Judge.me,full-bust/lingerie gap,0.00,https://ndapparel.com
70,request_next,Dmoose (US),dmoose.com,Okendo,bottoms/activewear gap,100.00,https://www.dmoose.com/
