apply_order,join_priority,programmeName,normalized_domain,review_providers,why_request,approvalRate,displayUrl,slug,existing_data_dir_found,existing_scrape_doc_found,existing_scraper_script_found,existing_claim_found,scrape_action
1,request_now,Company,shopbrabar.com,Loox,full-bust/lingerie gap; plus/curve gap; tall/petite gap,100.00,https://shopbrabar.com,shopbrabar_com,no,no,no,no,scrape_with_loox_adapter
2,request_now,Self-Adore (US),self-adore.com,Judge.me,full-bust/lingerie gap; swim/shapewear gap; bottoms/activewear gap,0.00,https://self-adore.com/,self_adore_com,no,no,no,no,probe_judgeme_then_scrape
3,request_now,duoFIT Maternity Activewear,builtlikeamother.com,Judge.me,full-bust/lingerie gap; maternity/postpartum gap; bottoms/activewear gap,0.00,https://builtlikeamother.com,builtlikeamother_com,no,no,no,no,probe_judgeme_then_scrape
4,request_now,CURVEEZ,curveez.com,Judge.me,full-bust/lingerie gap; swim/shapewear gap,73.81,https://curveez.com?utm_source=share-a-sale&utm_medium=affiliate&utm_campaign=text-general,curveez_com,no,no,no,no,probe_judgeme_then_scrape
5,request_now,Gatherall,wegatherall.com,Judge.me,full-bust/lingerie gap; adaptive/specialty fit gap,100.00,https://wegatherall.com/,wegatherall_com,no,no,no,no,probe_judgeme_then_scrape
6,request_now,EverLeakProof US,everleakproof.com,Loox,full-bust/lingerie gap; adaptive/specialty fit gap,85.71,https://everleakproof.com,everleakproof_com,no,no,no,no,scrape_with_loox_adapter
7,request_now,TheRY,therygroup.com,Loox;Judge.me,maternity/postpartum gap; adaptive/specialty fit gap,12.50,https://therygroup.com,therygroup_com,no,no,no,no,scrape_with_loox_adapter
8,request_now,ucalingerie.com,ucalingerie.com,Stamped,full-bust/lingerie gap; swim/shapewear gap,100.00,https://ucalingerie.com,ucalingerie_com,no,no,no,no,probe_stamped_then_scrape
9,request_now,baleaf,baleaf.com,Judge.me,full-bust/lingerie gap; bottoms/activewear gap,17.56,https://www.baleaf.com,baleaf_com,no,no,no,no,probe_judgeme_then_scrape
10,request_now,Springrose,springrose.co,Okendo,full-bust/lingerie gap; adaptive/specialty fit gap,0.00,https://www.springrose.co,springrose_co,no,no,no,no,scrape_with_okendo_adapter
11,request_now,Gooseberry Intimates Ltd,gooseberryintimates.com,Okendo,full-bust/lingerie gap; swim/shapewear gap,100.00,https://gooseberryintimates.com,gooseberryintimates_com,no,no,no,no,scrape_with_okendo_adapter
12,request_now,Selia Richwood,seliarichwood.com,Judge.me,full-bust/lingerie gap; swim/shapewear gap,0.00,https://seliarichwood.com,seliarichwood_com,no,no,no,no,probe_judgeme_then_scrape
13,request_now,Heyjoanie LLC,heyjoanie.com,Judge.me,tall/petite gap; bottoms/activewear gap,33.33,https://www.heyjoanie.com,heyjoanie_com,no,no,no,no,probe_judgeme_then_scrape
14,request_now,Solbari Sun Protection (US),solbari.com,Yotpo,swim/shapewear gap; bottoms/activewear gap,35.32,https://www.solbari.com/,solbari_com,no,no,no,no,probe_yotpo_then_scrape
15,request_now,Dippin Daisys (US),dippindaisys.com,Judge.me,swim/shapewear gap; bottoms/activewear gap,100.00,https://dippindaisys.com,dippindaisys_com,no,no,no,no,probe_judgeme_then_scrape
16,request_now,WOLACO (US),wolaco.com,Yotpo,adaptive/specialty fit gap; bottoms/activewear gap,82.78,https://www.wolaco.com/,wolaco_com,no,no,no,no,probe_yotpo_then_scrape
17,request_now,Cadense,cadense.com,Judge.me,adaptive/specialty fit gap; bottoms/activewear gap,100.00,https://cadense.com/,cadense_com,no,no,no,no,probe_judgeme_then_scrape
18,request_now,UNTUCKit (US),untuckit.com,Yotpo;Bazaarvoice,plus/curve gap; bottoms/activewear gap,91.97,https://www.untuckit.com/,untuckit_com,no,no,no,no,probe_yotpo_then_scrape
19,request_now,Line in the Sand,lineinthesand.com,Judge.me,swim/shapewear gap; bottoms/activewear gap,0.00,https://www.lineinthesand.com,lineinthesand_com,no,no,no,no,probe_judgeme_then_scrape
20,request_now,SOL SWIM,shopsolswim.com,Judge.me,swim/shapewear gap; bottoms/activewear gap,0.00,https://www.shopsolswim.com/,shopsolswim_com,no,no,no,no,probe_judgeme_then_scrape
21,request_now,Sweat and Milk,sweatandmilk.com,Judge.me,maternity/postpartum gap; bottoms/activewear gap,78.92,https://sweatandmilk.com/,sweatandmilk_com,no,no,no,no,probe_judgeme_then_scrape
22,request_now,Bravissimo,bravissimo.com,Yotpo,full-bust/lingerie gap; swim/shapewear gap,78.88,https://www.bravissimo.com/us/?utm_source=Shareasale&utm_medium=affiliate&utm_campaign=shopbravissimolink,bravissimo_com,no,no,no,no,probe_yotpo_then_scrape
