primary_domain,merchant_group,gap_tags,source_csv,review_row_key,product_page_url_display,size_display,height_in_display,weight_lbs_display,waist_in,hips_in_display,bust_in_display,bra_band_in_display,cupsize_display
whitehouseblackmarket.com,White House Black Market,cup_dd_plus,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/whitehouseblackmarket_com/whitehouseblackmarket_com_reviews_matching_amazon_schema.csv,,https://www.whitehouseblackmarket.com/store/product/bandage-wrap-bustier/570388667,small,,,,,32,32,DDD
whitehouseblackmarket.com,White House Black Market,tall_height_5ft10_plus;very_tall_height_6ft_plus,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/whitehouseblackmarket_com/whitehouseblackmarket_com_reviews_matching_amazon_schema.csv,,https://www.whitehouseblackmarket.com/store/product/blake-slim-boot-pant/570393513,8 long,,,,,,,
whitehouseblackmarket.com,White House Black Market,tall_height_5ft10_plus,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/whitehouseblackmarket_com/whitehouseblackmarket_com_reviews_matching_amazon_schema.csv,,https://www.whitehouseblackmarket.com/store/product/bustier-midi-dress/570388996,10,70,,,,36,36,D
whitehouseblackmarket.com,White House Black Market,cup_dd_plus,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/whitehouseblackmarket_com/whitehouseblackmarket_com_reviews_matching_amazon_schema.csv,,https://www.whitehouseblackmarket.com/store/product/cap-sleeve-draped-sheath-dress/570408933,4,67,,,,36,36,DD
whitehouseblackmarket.com,White House Black Market,tall_height_5ft10_plus;very_tall_height_6ft_plus,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/whitehouseblackmarket_com/whitehouseblackmarket_com_reviews_matching_amazon_schema.csv,,https://www.whitehouseblackmarket.com/store/product/chain-detail-extra-high-rise-wide-leg-jean/570399613,,72,,,,,,
lascana.at,LASCANA - It´s a woman´s world,cup_dd_plus,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/lascana_com/lascana_com_reviews_matching_intake_schema.csv,,"https://www.lascana.com/Zipper-Detail-Mini-Dress,9119?ThumbProductID=29322&ThumbProductColorID=LI",2,62,160,,,38,38,DDD
quince.com,Quince,tall_height_5ft10_plus;very_tall_height_6ft_plus,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/quince_com/quince_com_reviews_matching_intake_schema.csv,,https://www.quince.com/women/tencel-rib-knit-mini-slip-dress,,72,,,,,,
quince.com,Quince,higher_weight_200_plus;tall_height_5ft10_plus,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/quince_com/quince_com_reviews_matching_intake_schema.csv,,https://www.quince.com/women/cotton-sweater-hoodie,XL,70,210,,,,,
quince.com,Quince,tall_height_5ft10_plus;very_tall_height_6ft_plus,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/quince_com/quince_com_reviews_matching_intake_schema.csv,,https://www.quince.com/women/linen-wide-leg-pants--28,S,72,120,,,,,
quince.com,Quince,cup_dd_plus,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/quince_com/quince_com_reviews_matching_intake_schema.csv,,https://www.quince.com/women/organic-cotton-crochet-cover-up-crew,L,,,,,38,38,DD
quince.com,Quince,cup_dd_plus,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/quince_com/quince_com_reviews_matching_intake_schema.csv,,https://www.quince.com/women/linen-tank-top,M,62,150,31,40,38,38,DDD
spanx.com,Spanx.com,petite_height_under_5ft,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/spanx_com/spanx_com_reviews_matching_intake_schema.csv,,https://spanx.com/products/spanxsupersmooth-essential-tank,large,59,115,,,,,
spanx.com,Spanx.com,petite_height_under_5ft,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/spanx_com/spanx_com_reviews_matching_intake_schema.csv,,https://spanx.com/products/spanxshape-luxeshine-brief,medium,59,102,27.5,36,,,
spanx.com,Spanx.com,cup_dd_plus,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/spanx_com/spanx_com_reviews_matching_intake_schema.csv,,https://spanx.com/products/spanxshape-ponte-fit-and-flare-midi-dress,x-small,65,,27,37,34,34,DD
