primary_domain,merchant_group,recommended_gap_next_action,existing_artifact_status,gap_match_tags,data_dirs,csv_files_scanned,unique_rows_scanned,image_rows,measurement_rows,supabase_shape_rows,any_gap_rows,bra_band_40_plus,cup_dd_plus,bust_44_plus,waist_40_plus,hips_48_plus,higher_weight_200_plus,very_high_weight_260_plus,tall_height_5ft10_plus,very_tall_height_6ft_plus,petite_height_under_5ft,summary_rows_written,summary_supabase_qualified_rows,summary_rows_with_any_measurement,summary_rows_for_bra_products,summary_rows_for_bra_products_with_customer_bra_size
whitehouseblackmarket.com,White House Black Market,probe_refresh_for_gap_yield,data_present,curve_denim_bottoms;tall_long_inseam,whitehouseblackmarket_com,1,742,742,139,82,51,2,15,0,0,0,3,0,17,13,14,2205,1147,1752,1,0
rollasjeans.com,Rolla's Jeans,skip_already_completed,completed,tall_long_inseam;petite,rollasjeans_com,1,47,47,47,43,36,0,0,0,1,1,0,0,36,0,0,94,86,94,0,0
quince.com,Quince,probe_refresh_for_gap_yield,data_present,,quince;quince_com,1,771,771,119,115,19,0,9,0,0,0,1,0,7,2,3,48085,6876,8538,163,29
spanx.com,Spanx.com,skip_already_completed,completed,curve_denim_bottoms;curve_swim_shapewear;tall_long_inseam,spanx_com,1,150,150,135,126,3,0,1,0,0,0,0,0,0,0,2,3763,2371,2567,490,63
lascana.at,LASCANA - It´s a woman´s world,skip_already_completed,completed,plus_full_bust_lingerie;curve_swim_shapewear;extended_plus,lascana_com,1,6,6,2,2,1,0,1,0,0,0,0,0,0,0,0,11,4,4,0,0
yogademocracy.com,Yoga Democracy,skip_already_completed,completed,,yogademocracy_com,1,6,6,4,2,0,0,0,0,0,0,0,0,0,0,0,6,2,4,0,0
abrandjeans.com,Abrand Jeans,skip_already_completed,completed,curve_denim_bottoms;tall_long_inseam,abrandjeans_com,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0
ie.prettylittlething.com,Pretty Little Thing,skip_or_revisit_only_if_gap_is_critical,blocked_or_no_public,curve_swim_shapewear;extended_plus,prettylittlething_com;prettylittlething_com_au,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,
prettylittlething.com.au,PrettyLittleThing AU,skip_or_revisit_only_if_gap_is_critical,blocked_or_no_public,curve_swim_shapewear;extended_plus,prettylittlething_com;prettylittlething_com_au,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,
seven7jeans.com,Seven7 Jeans,inspect_existing_output_before_new_scrape,data_present,curve_denim_bottoms;tall_long_inseam,seven7jeans_com,1,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,60,,0,0,0
luxefashionclothing.com,Luxefashion Clothing,skip_already_completed,completed,plus_full_bust_lingerie;curve_swim_shapewear,luxefashionclothing_com,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,16,,0,0,0
foxylingerie.com,Foxy Intimates LLC,skip_already_completed,completed,plus_full_bust_lingerie;curve_swim_shapewear,foxylingerie_com,1,121,121,0,0,0,0,0,0,0,0,0,0,0,0,0,585,,0,2,0
wildsecretslingerie.com.au,Wild Secrets Lingerie AU,inspect_existing_output_before_new_scrape,data_present,plus_full_bust_lingerie,wildsecretslingerie_co_nz,1,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,35,,0,1,0
wildsecretslingerie.co.nz,Wild Secrets Lingerie NZ,inspect_existing_output_before_new_scrape,data_present,plus_full_bust_lingerie,wildsecretslingerie_co_nz,1,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,35,,0,1,0
spinnakerboutique.com,Spinnaker Boutique,skip_or_revisit_only_if_gap_is_critical,blocked_or_no_public,tall_long_inseam,spinnakerboutique_com,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,
nojeans.co,No! Jeans,skip_already_completed,completed,curve_denim_bottoms;tall_long_inseam,nojeans_co,1,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,229,,0,0,0
nordstromrack.com,Nordstrom Rack,skip_or_revisit_only_if_gap_is_critical,blocked_or_no_public,,nordstromrack_com,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,
clothingshoponline.com,clothing shop online,inspect_existing_output_before_new_scrape,data_present,,clothingshoponline_com,1,607,607,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
cart.tbdress.com,TB Dress,skip_already_completed,completed,extended_plus,tbdress_com,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
lingerie.co.uk,lingerie.co.uk,skip_already_completed,completed,plus_full_bust_lingerie,foxylingerie_com;lingerie_co_uk;wildsecretslingerie_co_nz,3,145,145,0,0,0,0,0,0,0,0,0,0,0,0,0,585,,0,2,0
synergyclothing.com,Synergy Organic Clothing,skip_or_revisit_only_if_gap_is_critical,blocked_or_no_public,,synergyclothing_com,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
redrat.co.nz,Red Rat Clothing,skip_already_completed,completed,,redrat_co_nz,1,72,72,0,0,0,0,0,0,0,0,0,0,0,0,0,627,,0,,
