height_bin,weight_bin,row_count
62-63,120-139,1220
64-65,120-139,1176
66-67,140-159,977
64-65,140-159,976
62-63,140-159,846
66-67,120-139,839
62-63,100-119,647
64-65,160-179,625
66-67,160-179,622
60-61,120-139,555
68-69,140-159,507
62-63,160-179,432
60-61,100-119,392
64-65,100-119,347
68-69,160-179,344
68-69,120-139,313
60-61,140-159,292
64-65,180-199,290
66-67,180-199,290
62-63,180-199,220
68-69,180-199,195
64-65,200-219,174
66-67,200-219,172
60-61,160-179,168
68-69,200-219,144
70-71,160-179,139
58-59,100-119,128
66-67,100-119,108
62-63,200-219,108
66-67,220-239,107
70-71,140-159,103
60-61,180-199,97
70-71,180-199,86
58-59,120-139,81
68-69,220-239,68
48-49,120-139,67
64-65,220-239,64
72-73,120-139,60
62-63,220-239,50
48-49,140-159,46
60-61,200-219,45
70-71,200-219,44
72-73,180-199,44
70-71,120-139,40
72-73,160-179,40
72-73,140-159,39
64-65,240-259,38
66-67,240-259,36
58-59,160-179,30
70-71,220-239,30
68-69,100-119,28
62-63,240-259,27
68-69,240-259,26
64-65,260-279,26
58-59,140-159,25
68-69,260-279,24
64-65,80-99,22
70-71,100-119,22
66-67,280-299,21
48-49,100-119,21
66-67,260-279,17
60-61,80-99,15
48-49,160-179,14
62-63,80-99,14
66-67,320+,14
62-63,260-279,13
70-71,240-259,13
72-73,200-219,12
56-57,100-119,12
60-61,220-239,12
58-59,80-99,12
74-75,200-219,12
68-69,320+,11
50-51,200-219,11
48-49,180-199,10
72-73,240-259,10
68-69,280-299,10
72-73,220-239,9
66-67,300-319,9
74-75,140-159,6
70-71,320+,6
70-71,260-279,6
62-63,280-299,6
62-63,320+,6
64-65,280-299,6
72-73,260-279,5
<48,100-119,5
64-65,300-319,5
66-67,80-99,5
64-65,320+,4
76-77,180-199,4
54-55,100-119,4
58-59,180-199,4
68-69,300-319,3
58-59,220-239,3
50-51,220-239,3
56-57,160-179,3
72-73,100-119,3
60-61,260-279,3
60-61,320+,3
70-71,280-299,2
74-75,220-239,2
62-63,300-319,2
70-71,300-319,2
56-57,120-139,2
60-61,240-259,2
56-57,80-99,2
58-59,200-219,2
74-75,240-259,2
84+,120-139,1
84+,80-99,1
84+,100-119,1
74-75,320+,1
76-77,140-159,1
50-51,160-179,1
56-57,140-159,1
50-51,260-279,1
72-73,320+,1
50-51,320+,1
54-55,140-159,1
58-59,260-279,1
62-63,<80,1
<48,160-179,1
