size,row_count,pct_of_rows
SMALL,30922,11.69
MEDIUM,28326,10.71
XS,25383,9.59
S,22427,8.48
M,19388,7.33
LARGE,18731,7.08
L,10101,3.82
XXS,9028,3.41
X-LARGE,8481,3.21
XL,6483,2.45
4,5291,2.0
6,4966,1.88
8,4521,1.71
2,4327,1.64
10,3291,1.24
XX-LARGE,3275,1.24
12,3258,1.23
X-SMALL,2939,1.11
0,2843,1.07
00,2658,1.0
14,2413,0.91
000,2325,0.88
16,1991,0.75
XXL,1713,0.65
18,1455,0.55
18-20/2X,1029,0.39
14-16/1X,919,0.35
28,898,0.34
22-24/3X,811,0.31
26,766,0.29
30,733,0.28
27,683,0.26
3X-LARGE,681,0.26
29,643,0.24
20,643,0.24
24,604,0.23
EXTRA,584,0.22
ONE,565,0.21
12/L,539,0.2
32,537,0.2
25,522,0.2
34,441,0.17
31,405,0.15
26/4X,391,0.15
1XL,390,0.15
10/M,369,0.14
1X,362,0.14
22,358,0.14
2R,331,0.13
9,325,0.12
4S,304,0.11
7,303,0.11
2X,295,0.11
2S,287,0.11
4R,261,0.1
000S,258,0.1
SMALL-MEDIUM,249,0.09
0S,248,0.09
00S,242,0.09
2XL,239,0.09
UNKNOWN,219,0.08
34B,217,0.08
0R,215,0.08
30/6X,214,0.08
28/5X,213,0.08
23,208,0.08
36,208,0.08
X,205,0.08
8-10,201,0.08
30X30,201,0.08
XX-SMALL,191,0.07
00R,183,0.07
30X32,175,0.07
000R,172,0.07
XSMALL,172,0.07
33,171,0.06
6R,171,0.06
11,168,0.06
LARGE-X-LARGE,168,0.06
4X-LARGE,165,0.06
5,161,0.06
3X,159,0.06
4-6,152,0.06
6S,150,0.06
3,147,0.06
32X32,145,0.05
12-14,142,0.05
STANDARDSIZE,138,0.05
S/M,137,0.05
32X30,136,0.05
8S,135,0.05
28X30,134,0.05
DOWN,129,0.05
36DD,118,0.04
MED,118,0.04
38,117,0.04
34DD,116,0.04
4L,113,0.04
34D,113,0.04
6L,110,0.04
AND,110,0.04
28W,102,0.04
29X30,102,0.04
13,102,0.04
8R,102,0.04
10R,101,0.04
36D,101,0.04
36X32,99,0.04
6-8,99,0.04
36C,99,0.04
1,99,0.04
I,99,0.04
34C,98,0.04
REGULARSIZE,96,0.04
31X30,95,0.04
10-12,94,0.04
2L,91,0.03
32B,90,0.03
34X30,89,0.03
UP,89,0.03
31X32,88,0.03
30W,84,0.03
14S,83,0.03
3XL,82,0.03
MEDUIM,81,0.03
SOLID,80,0.03
34X32,80,0.03
10S,78,0.03
34A,77,0.03
28X28,75,0.03
8L,74,0.03
26W,70,0.03
30/32,69,0.03
38DD,68,0.03
10L,68,0.03
W25,68,0.03
15,67,0.03
28/30,67,0.03
30X34,67,0.03
29X32,66,0.02
XXX-LARGE,64,0.02
31W,64,0.02
SMAL,63,0.02
12S,62,0.02
25W,62,0.02
XA,62,0.02
0L,62,0.02
0/25,61,0.02
8.5,60,0.02
COLOR,59,0.02
12R,59,0.02
32X34,58,0.02
16-18,58,0.02
5X-LARGE,58,0.02
32/30,57,0.02
000/23,56,0.02
00L,56,0.02
32D,55,0.02
32/32,55,0.02
30/30,55,0.02
SHORT,53,0.02
REGULAR,53,0.02
36DDD,51,0.02
W26,51,0.02
32DD,51,0.02
W28,51,0.02
4/27,51,0.02
14R,50,0.02
34DDD,50,0.02
30X28,50,0.02
16S,50,0.02
36B,49,0.02
2-4,49,0.02
FOR,48,0.02
SM,48,0.02
27W,47,0.02
38DDD,46,0.02
W30,46,0.02
M/L,46,0.02
ZERO,45,0.02
CHART,45,0.02
36X30,45,0.02
14-16,44,0.02
W32,44,0.02
38D,44,0.02
8/29,44,0.02
32C,44,0.02
33X32,44,0.02
14L,43,0.02
4X,43,0.02
40DD,43,0.02
6.5,42,0.02
W29,42,0.02
34/32,42,0.02
31/30,42,0.02
MEDIUM/30,41,0.02
PRINTED,40,0.02
12L,40,0.02
6/7,40,0.02
9.5,40,0.02
000L,39,0.01
2-S,39,0.01
IN,38,0.01
38C,38,0.01
33X30,37,0.01
6/28,37,0.01
29W,37,0.01
28X32,36,0.01
W27,35,0.01
00/24,35,0.01
XX,35,0.01
34/30,34,0.01
000-S,34,0.01
2/26,34,0.01
34X34,34,0.01
W31,34,0.01
16R,33,0.01
MEDIUM/34,33,0.01
SMALL/27,33,0.01
LG,32,0.01
7/8,32,0.01
36X34,32,0.01
32DDD,31,0.01
28/32,31,0.01
MEDIUM/31,31,0.01
32/34,31,0.01
FIT,30,0.01
SMALL/29,30,0.01
MEDIUM-LARGE,30,0.01
34G,30,0.01
31/32,30,0.01
28/28,29,0.01
X-LARGE/31,28,0.01
0-12,28,0.01
18/2X,28,0.01
36G,28,0.01
29/32,28,0.01
10-16,28,0.01
40D,28,0.01
32W,28,0.01
00-S,27,0.01
33/32,27,0.01
36/32,27,0.01
02,27,0.01
38X32,27,0.01
XSS,26,0.01
X-SMALL/27,26,0.01
14/1X,26,0.01
IS,25,0.01
XXS/XS,25,0.01
5-32,25,0.01
16/1X,25,0.01
MEDIUM/35,25,0.01
32A,24,0.01
04,24,0.01
33/30,24,0.01
34W,23,0.01
LARGE/34,23,0.01
5X,23,0.01
29-30,23,0.01
0-R,23,0.01
29/30,23,0.01
XTRA,22,0.01
MT,22,0.01
16L,22,0.01
0-S,22,0.01
1.7,21,0.01
MEDIUMSTYLE,21,0.01
33W,21,0.01
36W,21,0.01
W34,21,0.01
TO,21,0.01
AS,20,0.01
XXXS,20,0.01
L/XL,20,0.01
TALLSIZE,20,0.01
SX,20,0.01
10-30,20,0.01
34/34,19,0.01
24W,19,0.01
38X30,19,0.01
MEDIUM/33,19,0.01
SMALL/S,19,0.01
7.5,19,0.01
000/,19,0.01
13-34,18,0.01
8-32,18,0.01
2-10,18,0.01
18R,18,0.01
LAGE,18,0.01
LEGGINGSIZE,18,0.01
XLT,18,0.01
X-LARGE/33,18,0.01
SML,18,0.01
W24,18,0.01
BECAUSE,18,0.01
40DDD,18,0.01
M1,18,0.01
4-S,18,0.01
30/28,18,0.01
4/27W,17,0.01
WAS,17,0.01
XS/S,17,0.01
OR,17,0.01
18-24/2X-3X,17,0.01
0-SHORT,17,0.01
25S,17,0.01
9-36,17,0.01
SMALL/28,17,0.01
NO,17,0.01
36/30,17,0.01
38/30,17,0.01
18-20,17,0.01
24/3X,16,0.01
34F,16,0.01
38H,16,0.01
22-24,16,0.01
17,16,0.01
9/10,16,0.01
XXSS,16,0.01
3-36,15,0.01
37,15,0.01
2-S/3-S/26W,15,0.01
SMALL/32,15,0.01
000SHORT,15,0.01
A,15,0.01
30-32,15,0.01
20/2X,15,0.01
5-34,15,0.01
LT,15,0.01
O,15,0.01
LARGESTYLE,15,0.01
13-36,15,0.01
40,15,0.01
XLARGE,15,0.01
XXSMALL,15,0.01
34H,15,0.01
SMLL,15,0.01
0-30,15,0.01
8/9,14,0.01
1X-3X,14,0.01
6X,14,0.01
15-34,14,0.01
24R,14,0.01
11-32,14,0.01
6-32,14,0.01
THE,14,0.01
30/34,14,0.01
PETITE,14,0.01
REFERENCE,14,0.01
LARGE/31,14,0.01
SMALL/35,14,0.01
38G,14,0.01
W36,14,0.01
0-2,13,0.0
10/30,13,0.0
5-36,13,0.0
LARGE/27,13,0.0
ADULT,13,0.0
XX-LARGE/30,13,0.0
0R/1R/25W,13,0.0
MEDIUM/29,13,0.0
08,13,0.0
0-S/1-S/25W,13,0.0
32-30,13,0.0
26S,13,0.0
4-R/5-R/27W,13,0.0
SO,13,0.0
SMALLER,13,0.0
STANDARD,13,0.0
6-30,12,0.0
MEDIUM/32,12,0.0
28-30,12,0.0
RUFFLE,12,0.0
LARG,12,0.0
GUIDE,12,0.0
LARGE/36,12,0.0
BIGGER,12,0.0
24-26,12,0.0
0/1,12,0.0
12SHORT,12,0.0
X-SMALL/34,12,0.0
31-30,12,0.0
22/3X,12,0.0
THAT,12,0.0
8-L,12,0.0
32F,12,0.0
SMALL/26,12,0.0
44DD,12,0.0
8SHORT,11,0.0
9-34,11,0.0
SMALL/33,11,0.0
38B,11,0.0
4P,11,0.0
4-32,11,0.0
TALL-34,11,0.0
X-LARGE-XX-LARGE,11,0.0
6-L,11,0.0
X-LARGE/34,11,0.0
10-S,11,0.0
26R,11,0.0
WOULD,11,0.0
35,11,0.0
SMALL/SHORT,11,0.0
26/2,11,0.0
0/SHORT,11,0.0
4LONG,11,0.0
WITH,11,0.0
LARGE/33,11,0.0
42DD,10,0.0
SMALL/31,10,0.0
40G,10,0.0
6X-LARGE,10,0.0
SUIT,10,0.0
W27/4,10,0.0
6-R,10,0.0
8-S,10,0.0
30I,10,0.0
O/S,10,0.0
SNALL,10,0.0
6P,10,0.0
XE,10,0.0
4-SHORT,10,0.0
4SHORT,10,0.0
W38,10,0.0
LARGE/35,10,0.0
8.0,10,0.0
4-L,10,0.0
10-16/M-1X,10,0.0
PURCHASED,10,0.0
42C,10,0.0
W23,10,0.0
12/31,10,0.0
15-36,10,0.0
000-R,10,0.0
0/1/25,10,0.0
36A,10,0.0
PLAINSIZE,10,0.0
2-R,10,0.0
3-32,10,0.0
0-,10,0.0
3-30,10,0.0
CUSTOM,10,0.0
FITS,10,0.0
SMALLSTYLE,10,0.0
2/W26,9,0.0
27/4R,9,0.0
X-LARGE/37,9,0.0
BUT,9,0.0
36I,9,0.0
36H,9,0.0
4/SHORT,9,0.0
XXLT,9,0.0
06,9,0.0
4R/27,9,0.0
4R/27W,9,0.0
24/00,9,0.0
28-32,9,0.0
PERFECT,9,0.0
42DDD,9,0.0
7X-LARGE,9,0.0
6S/28W,9,0.0
32-34,9,0.0
20S,9,0.0
2P,9,0.0
4-R,9,0.0
NORMAL,9,0.0
OS,9,0.0
10/11,9,0.0
4XL,9,0.0
00-L,9,0.0
16/33W,9,0.0
000/W23,9,0.0
0-10,9,0.0
000/23/XXS,9,0.0
XXS/000,8,0.0
26X30,8,0.0
W33,8,0.0
X-LARGE/29,8,0.0
SR,8,0.0
CS,8,0.0
SMALL/REGULAR,8,0.0
3X-5X,8,0.0
34/36,8,0.0
M2,8,0.0
0SHORT,8,0.0
0R-25W,8,0.0
5-30,8,0.0
4/5/27W,8,0.0
27/4,8,0.0
25/0,8,0.0
13-32,8,0.0
MEDIYM,8,0.0
PETITESIZE,8,0.0
X-LARGE/32,8,0.0
2/26W,8,0.0
30DD,8,0.0
40H,8,0.0
ITS,8,0.0
DRAWSTRINGSIZE,8,0.0
40C,8,0.0
10-L,8,0.0
38F,8,0.0
10-32,8,0.0
12-R/13-R/31W,8,0.0
28C,8,0.0
LARGE/29,8,0.0
CURVY,8,0.0
XX-LARGE/29,8,0.0
BOTTLE,8,0.0
18S,8,0.0
LATGE,8,0.0
28F,8,0.0
X-SMALL-SMALL,8,0.0
X-SMALL/29,8,0.0
14-15,8,0.0
MEDIUM/,8,0.0
8-SHORT,8,0.0
18L,8,0.0
25R,8,0.0
ST,8,0.0
SMALL/25,8,0.0
32-32,8,0.0
MENS,8,0.0
CAN,7,0.0
50,7,0.0
0P,7,0.0
00SHORT,7,0.0
39,7,0.0
38-32,7,0.0
00-R,7,0.0
11-36,7,0.0
000-SHORT,7,0.0
ALL,7,0.0
12-18,7,0.0
.,7,0.0
A-RUCHEDSIZE,7,0.0
48,7,0.0
7-34,7,0.0
0/25W,7,0.0
MENSIZE,7,0.0
00-SHORT,7,0.0
SWIMSUITSSIZE,7,0.0
2/3/26W,7,0.0
27-29,7,0.0
20L,7,0.0
LARGER,7,0.0
4.2,7,0.0
26L,7,0.0
LARGW,7,0.0
0-1,7,0.0
4-,7,0.0
9R,7,0.0
0-25,7,0.0
000/SHORT,7,0.0
XXLARGE,7,0.0
6R/28W,7,0.0
6-34,7,0.0
8/W29,7,0.0
LARGE/24,6,0.0
XX-LARGE/35,6,0.0
1X-2X,6,0.0
16-24,6,0.0
16W,6,0.0
2/3L,6,0.0
9.5-10,6,0.0
28/3,6,0.0
31-32,6,0.0
MEDIUM/M,6,0.0
ML,6,0.0
VERY,6,0.0
MEDIUM/25,6,0.0
MEDIUM/24,6,0.0
29-34,6,0.0
32G,6,0.0
M-,6,0.0
36/34,6,0.0
12-24,6,0.0
W31L30,6,0.0
42,6,0.0
MEDIUM/REGULAR,6,0.0
14/32,6,0.0
SHORTSIZE,6,0.0
X-LARGE/25,6,0.0
9-10,6,0.0
15-32,6,0.0
LARGE/TALL,6,0.0
1-30,6,0.0
XXS/SHORT,6,0.0
30-28,6,0.0
