alinknormal_URL,ASIN_Values,Batch Number
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MTczOTM0NjIxMzk4NDk5OjE3NzYzNTM2NDY6c3BfYnRmOjMwMTIxNzgzMDMyMDYwMjo6MDo6&url=%2FWallFlower-Juniors-Instastretch-Luscious-Bootcut%2Fdp%2FB073186MT4%2Fref%3Dsr_1_2555_sspa%3Fcrid%3D3QRQG4R0RZPEY%26dib%3DeyJ2IjoiMSJ9.0hiNoQDl9Pg5XJxvlBWPepnXfiwObpZc0Ka8a1zX49nClSJjMntBNLltNaQQpwd0x-j6Wd86dI74B0j0DpBcimMEGlElnohnlYC1Iv9T3EbbrFXQPAOkw1H0MF9HTNxS2ppGkEZgZJHhx1Qn_xaONPHb0urSSVAtFDn-iom3Wz9FZTNRnEfl5xkFUju-UKs6ikyFMH2T12aH2pai84f5UUKMj0-MZ_bzRtAAYuFcaMfj6gw2LwZtwPs_HbT42uNQXqgevgPrdwBrveWFqWQHCqh4iVIO3uhj7uIYW6cgxAQ.YV_5GtkKsi8PEyIXzt81Qvb4ySMMU-y5Zh8JNYMIGt4%26dib_tag%3Dse%26keywords%3Dplus%2Bsize%2Bjeans%26qid%3D1776353646%26s%3Dapparel%26sprefix%3Dplus%2Bsized%2Bjeans%2B%252Cfashion-womens%252C470%26sr%3D1-2555-spons%26xpid%3DAAqYdwSlBiKYy%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,B073186MT4,1
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NTU5MTc0MDE4MjkzMzcxOjE3NzYzNTM2ODU6c3BfYnRmOjMwMTIxNzgzMDMyMTEwMjo6MDo6&url=%2FWallFlower-Juniors-Instastretch-Luscious-Bootcut%2Fdp%2FB07318PMSS%2Fref%3Dsr_1_2793_sspa%3Fcrid%3D3QRQG4R0RZPEY%26dib%3DeyJ2IjoiMSJ9.tGusC-M6AlDVyBXB9qdl9yNPO9uX3gdvCSJcRGqremPQya8S1oDWZtYltm_2SSzT4yQw3ybwfpx9-mxkiPQ_iAzobFiVOL1YR_V4UEyWHqYaUWoEjvR5SJQu2xu0yZm6GCUUGM7gKyEYJEape_69QH4sTxFcVL04Q28eUwWMso0cGzVfTxohIj1h8CkLz_qldlPs5BrztvxHAcxB1N0Bpq1zX2FXtRYXUE4QNDTYvnWAh-OL9L81L-kKOQ38Nvvwwtwv5X-hQ92sTY_EG9dnaxV2z9OGaP1XcxQlsHy8ReM.XDEBgKOEb9dA0Z4M-rBSfVZvM0RboBfXb1fgCyKAAAc%26dib_tag%3Dse%26keywords%3Dplus%2Bsize%2Bjeans%26qid%3D1776353685%26s%3Dapparel%26sprefix%3Dplus%2Bsized%2Bjeans%2B%252Cfashion-womens%252C470%26sr%3D1-2793-spons%26xpid%3DAAqYdwSlBiKYy%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,B07318PMSS,1
https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxOTI5NzMxMjg3NzkxODExOjE3NzYzNTM3MDA6c3BfYnRmOjMwMTIxNzgzMDMyMTcwMjo6MDo6&url=%2FWallFlower-Juniors-Instastretch-Luscious-Bootcut%2Fdp%2FB07318ZZGZ%2Fref%3Dsr_1_2889_sspa%3Fcrid%3D3QRQG4R0RZPEY%26dib%3DeyJ2IjoiMSJ9.WE_IsXMhbypoMr37JMqfadHwEhTzUFqJXo7KOB4Isfb-j_fCwifBtYu18wUmaLautroy9dmttifwOEErowFKmn7mL6etsXThoDDp94jUzP06LULupaC7ueGz8CrmHhHw9fgtUAcAHE0r_gyfA_IK22SjvKRLKwmagW4iLeB-j5QxpK-Un-QwM69xpCv8Y4FqlWVqEzmdZ4dd___FXnz_Xq1XixmhumBGvM_vgTvyivlWxkymxrFyvcJwnMAY-HPgn00HnM8pEOyVFEG1todqfT-TyXbt13Bxzr7ybQG8VxI.7mzlBsp0Bnavcq0iZA3Ps5kBFOp_Tu49n-cWxWUZp0w%26dib_tag%3Dse%26keywords%3Dplus%2Bsize%2Bjeans%26qid%3D1776353700%26s%3Dapparel%26sprefix%3Dplus%2Bsized%2Bjeans%2B%252Cfashion-womens%252C470%26sr%3D1-2889-spons%26xpid%3DAAqYdwSlBiKYy%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,B07318ZZGZ,1
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NDkyMjQwNjIzNDAxNjA3OjE3NzYzNTM3MzI6c3BfbXRmOjMwMTIxNzgzMDMyNDYwMjo6MDo6&url=%2FWallFlower-Juniors-Instastretch-Luscious-Bootcut%2Fdp%2FB0731B8DQ7%2Fref%3Dsr_1_3050_sspa%3Fcrid%3D3QRQG4R0RZPEY%26dib%3DeyJ2IjoiMSJ9.mBoraBo4a-cBrXVBJ4Kj_8xIJuKzywP-pu3SIu_9_Bo4LhoejS0IC5gh0mBWLMpl_BT6e8qzmtoWGFSlz1m3zhPK7H8rt9Y4GncCB46PkiQL3fYJP0UzTaaSh6uWbBqXfEgiXieq8pG6zatJUG5VqeFpE2TMplfBC3b8IJY9PK0_RLGoS68sDSEg3P2PISTNihg5jPYk8mRtd-OWcGwIlifLfo4Uqv4846Eg7DxNwogZImFDzHvTu6TzC8qR367IOxSst6BWl-rRbredeQhHsF7-5oL_6aAxHEoZcvDx9Cs.Ii-K2TG4tlSlouckq1NCs2b5RLMuKqyTaYlHr_ICWCQ%26dib_tag%3Dse%26keywords%3Dplus%2Bsize%2Bjeans%26qid%3D1776353732%26s%3Dapparel%26sprefix%3Dplus%2Bsized%2Bjeans%2B%252Cfashion-womens%252C470%26sr%3D1-3050-spons%26xpid%3DAAqYdwSlBiKYy%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,B0731B8DQ7,1
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4MTM5MzgxMTA3Mjc1ODE3OjE3NzYzNTM3NDA6c3BfbXRmOjMwMTIxNzgzMDMyMTUwMjo6MDo6&url=%2FWallFlower-Juniors-Instastretch-Luscious-Bootcut%2Fdp%2FB07319DM9Q%2Fref%3Dsr_1_3097_sspa%3Fcrid%3D3QRQG4R0RZPEY%26dib%3DeyJ2IjoiMSJ9.YQUbnPlN4pTJSQ65VG98ZkaGkYOKbjh5Om0r9m8nAKYMIoLGF6T7hV7qVet2EjdN3MLoIYP_z15NrGyB2ORTYAU6jmMgrHb8wla5Dv1Wrd6wlyfP2wKbGA3D5HBrZfuTaJ-sEIyS1O_jJ7NUy2UnkXH3jGShJ9sRwHTy5oTN8kl5M4MkwO4NCbyYRBETfoafJQHMb_uEg99BKibYVji1CpRKI9nwCn5gtODgkAKMAejYvJ00ckbT1-hKHVPppoX_8NEm9yCLGXuMsDNbeOVGO4QfO2-7MLsGobtfW2eOeGw.5n8Np-GjP_Asne0e5jgXeSQA8-CobiGTuZdUDIGXT5M%26dib_tag%3Dse%26keywords%3Dplus%2Bsize%2Bjeans%26qid%3D1776353740%26s%3Dapparel%26sprefix%3Dplus%2Bsized%2Bjeans%2B%252Cfashion-womens%252C470%26sr%3D1-3097-spons%26xpid%3DAAqYdwSlBiKYy%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,B07319DM9Q,1
https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxMTM3ODU0MjExNzU4NTczOjE3NzYzNTM3ODI6c3BfbXRmOjMwMTIxNzgzMDMxOTgwMjo6MDo6&url=%2FWallFlower-Juniors-Instastretch-Luscious-Bootcut%2Fdp%2FB07318143S%2Fref%3Dsr_1_3345_sspa%3Fcrid%3D3QRQG4R0RZPEY%26dib%3DeyJ2IjoiMSJ9.cTWP5MpOECBVKBFX-jubLJCb2sIeVVhKYeZ-aKikk35gcaqKMv9RkxCYZNeUd35U9Tc7n-1jJotw_XXDRzhNhgHYZ2vebdPavHK9ofA_7s8OvZmUD9QqaYuFYIb00lTg9fpRWH7mWVYT2IbSfz_tqFup8Hulx6fwh6T8iQC-b9oaTcCc9KZWVv6R-u_9TfCKkC3PnZ1Hf6C-A_M9pLi6xz4ewUz3G9oc-Eq-p9lmSavV7cnm5kQhBuYvl4MSY7RvlO54GYLuGT0epnKuUfWao1t4frtAXNO14T3hBduuLc4.jec3p7HRVHJNQ9v061B0gUNT4klzvOrSKysD8WHgcKw%26dib_tag%3Dse%26keywords%3Dplus%2Bsize%2Bjeans%26qid%3D1776353782%26s%3Dapparel%26sprefix%3Dplus%2Bsized%2Bjeans%2B%252Cfashion-womens%252C470%26sr%3D1-3345-spons%26xpid%3DAAqYdwSlBiKYy%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,B07318143S,1
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NzYzMDE4MzIxMDMxNzc6MTc3NjM1MzgwNjpzcF9idGY6MzAxMjE3ODMwMzE5MjAyOjowOjo&url=%2FWallFlower-Juniors-Instastretch-Luscious-Bootcut%2Fdp%2FB07D1PFKVC%2Fref%3Dsr_1_3515_sspa%3Fcrid%3D3QRQG4R0RZPEY%26dib%3DeyJ2IjoiMSJ9.g3yD7O2nfvoL06KWMIV93wEFp26KYnKTsSjEO_OGeELurtX1J_3NyxqDjLsNr2rvwA7Tw5xBMZWOBIrD8Etrvpzt2UMw5a_lrVWb_Hxc1IGMghxkQzXzdeVrPPGLvUOjMpS62zv3mh45axpTof_wmfbQf25VXpwLSiiQdiddeZOpEXyhGQWxLpC-M_wwrwYPDVFsnD2tpseQNvIn5lZ6eMxIEVnMEShmAhXApfjpKq-6DDnWFQM38dGr96b51IuLbM_cT-S9eJPYkML5FX35UCn0kXZLBbDIOScQS1EnT94.dSbeY5a0PW6WT4xWY0WuYT5tfRqaUD8J5lFHkRfFfQE%26dib_tag%3Dse%26keywords%3Dplus%2Bsize%2Bjeans%26qid%3D1776353806%26s%3Dapparel%26sprefix%3Dplus%2Bsized%2Bjeans%2B%252Cfashion-womens%252C470%26sr%3D1-3515-spons%26xpid%3DAAqYdwSlBiKYy%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,B07D1PFKVC,1
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozNDAzODcwMjk0NTAxMTM5OjE3NzYzNTM4NTE6c3BfYnRmOjMwMTIxNzgzMDMyMzQwMjo6MDo6&url=%2FWallFlower-Juniors-Instastretch-Luscious-Bootcut%2Fdp%2FB07318GWWM%2Fref%3Dsr_1_3803_sspa%3Fcrid%3D3QRQG4R0RZPEY%26dib%3DeyJ2IjoiMSJ9.qhw75bVImVHqPNBcUgy6wL9eHIiD_NRd0Vel3qV3h1TSXsfZfLvsjVOY6BhxVtl7s55o9UQ7TwD0sDri_-0y5NR4bS7qeOm2Z-tHcHzcQ5pTmqfFmBiNX6oy8ov7IbXYNqh5P9_vUDCY0jIKnRstT7l7wBzld3zeVL0TV9spH2GsJ8gdBFGRPoUIRovqb4P8zclM2p3ewyDCrF8bLxvC6y60QoeeKHFveo2ZkLtpWfvxlUE4cR3wgZpd-QAp9n6yiKwqsxgUWI8TLF5bFnPLsUHUkIXBuj64C5W3rs7GqSA.zOUgjFgy5e50Xb1MXvSNhgF6a4AUAd37s2d6sJVEmpc%26dib_tag%3Dse%26keywords%3Dplus%2Bsize%2Bjeans%26qid%3D1776353851%26s%3Dapparel%26sprefix%3Dplus%2Bsized%2Bjeans%2B%252Cfashion-womens%252C470%26sr%3D1-3803-spons%26xpid%3DAAqYdwSlBiKYy%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,B07318GWWM,1
https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxMDg5NjY4NzA3Mzk1MTU6MTc3NjM1MzkzNzpzcF9idGY6MzAxMjE3ODMwMzIzNDAyOjowOjo&url=%2FWallFlower-Juniors-Instastretch-Luscious-Bootcut%2Fdp%2FB07318GWWM%2Fref%3Dsr_1_4235_sspa%3Fcrid%3D3QRQG4R0RZPEY%26dib%3DeyJ2IjoiMSJ9.Vp4Lm9cELymsfnl1Bwo4vywAn3Wfp9Gl1CwGUkKSEK2cFe-I1V24dhNnPyXx0gjpdiXNw0Sn0e06KR1rpQYzzoflqQrbuXuetUoaXGoSpJHWh6uMI33TBxpmLSpcygPYPLGRUbElVp5iu7GR-IdJFrjfZFFId_6HupkMGwbHkcM6qB0IXqVCZUmExuTYN61P8fdW-UsfYQMIDLYa3VQy6JgafWCkkQhGr4dGeviDm4U90GID7Z4EC97_bmql7oyEXpz43II_Lw2A3sH8t7zvJMevdCiO6aoWsBe7iMwTlko.QMjvyyGdtNcuXoLuz6qshebwlUapOW1KksgPc3zrUnU%26dib_tag%3Dse%26keywords%3Dplus%2Bsize%2Bjeans%26qid%3D1776353937%26s%3Dapparel%26sprefix%3Dplus%2Bsized%2Bjeans%2B%252Cfashion-womens%252C470%26sr%3D1-4235-spons%26xpid%3DAAqYdwSlBiKYy%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,B07318GWWM,1
https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyOTQ3MDI2NzQ3MjYwMjE4OjE3NzYzNTQwMTI6c3BfYnRmOjMwMTIxNzgzMDMxODQwMjo6MDo6&url=%2FWallFlower-Juniors-Instastretch-Luscious-Bootcut%2Fdp%2FB07D1MNRK9%2Fref%3Dsr_1_4661_sspa%3Fcrid%3D3QRQG4R0RZPEY%26dib%3DeyJ2IjoiMSJ9.K5KuhtJn_M2glLtudQay0BLP4herTaX9zpwA8ErzJQHQiBtsixFjyyrtbdzqxZF-LoQhr5ffk9gBS_p0gMRg6FJtwa049_0dEP0lGRJtaZtP3Z4YiY03zciKoY3uhTQBEEcPt1E9M3CEZ06G8VTFbqT7-fcSA6QF1mow2fXXRNf_QTAr2PCmgVDRQ4h2xBVMJGox04SxbRvSbBP4DPEPwibqYhXprPZdUhKed6dDi0GEmIVG9XuurU3qgpoytRyH4F3dB09REwT6up9HY0eTT7U-qTquWxsqIDB-oA8Rd0A.opTsnnvBuzt_1r8zuIg-TZDLcrD2SGsTx7BQ6tP8wrQ%26dib_tag%3Dse%26keywords%3Dplus%2Bsize%2Bjeans%26qid%3D1776354011%26s%3Dapparel%26sprefix%3Dplus%2Bsized%2Bjeans%2B%252Cfashion-womens%252C470%26sr%3D1-4661-spons%26xpid%3DAAqYdwSlBiKYy%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,B07D1MNRK9,1
